id,variable,original_variable,question,answer_label,metro,region,division,age_cat,gender,edu_cat,edu_cat2,years_in_us,race,race_ethn,religion,religion_4cat,attend_relig,party,party_summary,party_ideo,registered,family_income,ideology,internet_use,volunteer,income_tier3,birthplace,party_lean,hispanic,choices,correct_answer,prompt,answer,confidence
104210,LIVSTAN_W149,LIVSTAN_W149,"Compared to your parents when they were the age you are now, do you think your own standard of living now is... Options: (1) Much better than your parents, (2) Somewhat better than your parents, (3) About the same as your parents, (4) Somewhat worse than your parents, (5) Much worse than your parents, (6) Not sure, (99) Refused/Web blank",Much worse than your parents,Metropolitan,Northeast,Middle Atlantic,30-49,A woman,H.S. graduate or less,High school graduate,Born in US (not including unincorporated territories),White,White non-Hispanic,Nothing in particular,Unaffiliated,Never,Democrat,Dem/Lean Dem,Liberal Dem/Lean,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,"$30,000 to less than $40,000",Very liberal,Several times a day,No,Lower income,,,,"['Much better than your parents', 'Somewhat better than your parents', 'About the same as your parents', 'Somewhat worse than your parents', 'Much worse than your parents', 'Not sure', 'Refused/Web blank']",E,"[{""role"": ""system"", ""content"": ""You are a survey respondent. Adopt this profile: Metro: Metropolitan; Region: Northeast; Division: Middle Atlantic; Age Cat: 30-49; Gender: A woman; Edu Cat: H.S. graduate or less; Edu Cat2: High school graduate; Years In Us: Born in US (not including unincorporated territories); Race: White; Race Ethn: White non-Hispanic; Religion: Nothing in particular; Religion 4Cat: Unaffiliated; Attend Relig: Never; Party: Democrat; Party Summary: Dem/Lean Dem; Party Ideo: Liberal Dem/Lean; Registered: You are ABSOLUTELY CERTAIN that you are registered to vote at your current address; Family Income: $30,000 to less than $40,000; Ideology: Very liberal; Internet Use: Several times a day; Volunteer: No; Income Tier3: Lower income Answer as yourself in first person. Pick exactly one option from the list. Output only one uppercase letter from [A, B, C, D, E, F, G]. No words, no punctuation, no explanations, no qualifiers. Do not discuss ethics, study design, or what most people would do.""}, {""role"": ""user"", ""content"": ""Compared to your parents when they were the age you are now, do you think your own standard of living now is...\n\nChoices:\nA: Much better than your parents\nB: Somewhat better than your parents\nC: About the same as your parents\nD: Somewhat worse than your parents\nE: Much worse than your parents\nF: Not sure\nG: Refused/Web blank""}]",A,0.5
118060,LIVSTAN_W149,LIVSTAN_W149,"Compared to your parents when they were the age you are now, do you think your own standard of living now is... Options: (1) Much better than your parents, (2) Somewhat better than your parents, (3) About the same as your parents, (4) Somewhat worse than your parents, (5) Much worse than your parents, (6) Not sure, (99) Refused/Web blank",About the same as your parents,Metropolitan,South,South Atlantic,50-64,A woman,College graduate+,College graduate/some post grad,Born in US (not including unincorporated territories),White,White non-Hispanic,Roman Catholic,Catholic,Seldom,Republican,Rep/Lean Rep,Conservative Rep/Lean,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,"$40,000 to less than $50,000",Conservative,About once a day,No,Middle income,"No, not born-again or evangelical Christian",,,"['Much better than your parents', 'Somewhat better than your parents', 'About the same as your parents', 'Somewhat worse than your parents', 'Much worse than your parents', 'Not sure', 'Refused/Web blank']",C,"[{""role"": ""system"", ""content"": ""You are a survey respondent. Adopt this profile: Metro: Metropolitan; Region: South; Division: South Atlantic; Age Cat: 50-64; Gender: A woman; Edu Cat: College graduate+; Edu Cat2: College graduate/some post grad; Years In Us: Born in US (not including unincorporated territories); Race: White; Race Ethn: White non-Hispanic; Religion: Roman Catholic; Religion 4Cat: Catholic; Attend Relig: Seldom; Party: Republican; Party Summary: Rep/Lean Rep; Party Ideo: Conservative Rep/Lean; Registered: You are ABSOLUTELY CERTAIN that you are registered to vote at your current address; Family Income: $40,000 to less than $50,000; Ideology: Conservative; Internet Use: About once a day; Volunteer: No; Income Tier3: Middle income Answer as yourself in first person. Pick exactly one option from the list. Output only one uppercase letter from [A, B, C, D, E, F, G]. No words, no punctuation, no explanations, no qualifiers. Do not discuss ethics, study design, or what most people would do.""}, {""role"": ""user"", ""content"": ""Compared to your parents when they were the age you are now, do you think your own standard of living now is...\n\nChoices:\nA: Much better than your parents\nB: Somewhat better than your parents\nC: About the same as your parents\nD: Somewhat worse than your parents\nE: Much worse than your parents\nF: Not sure\nG: Refused/Web blank""}]",B,0.25
127284,LIVSTAN_W149,LIVSTAN_W149,"Compared to your parents when they were the age you are now, do you think your own standard of living now is... Options: (1) Much better than your parents, (2) Somewhat better than your parents, (3) About the same as your parents, (4) Somewhat worse than your parents, (5) Much worse than your parents, (6) Not sure, (99) Refused/Web blank",Much worse than your parents,Metropolitan,West,Pacific,50-64,A woman,Some College,"Some college, no degree",Born in US (not including unincorporated territories),White,White non-Hispanic,Roman Catholic,Catholic,Seldom,Independent,Rep/Lean Rep,Conservative Rep/Lean,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,"$30,000 to less than $40,000",Conservative,Several times a day,No,Lower income,"No, not born-again or evangelical Christian",The Republican Party,,"['Much better than your parents', 'Somewhat better than your parents', 'About the same as your parents', 'Somewhat worse than your parents', 'Much worse than your parents', 'Not sure', 'Refused/Web blank']",E,"[{""role"": ""system"", ""content"": ""You are a survey respondent. Adopt this profile: Metro: Metropolitan; Region: West; Division: Pacific; Age Cat: 50-64; Gender: A woman; Edu Cat: Some College; Edu Cat2: Some college, no degree; Years In Us: Born in US (not including unincorporated territories); Race: White; Race Ethn: White non-Hispanic; Religion: Roman Catholic; Religion 4Cat: Catholic; Attend Relig: Seldom; Party: Independent; Party Summary: Rep/Lean Rep; Party Ideo: Conservative Rep/Lean; Registered: You are ABSOLUTELY CERTAIN that you are registered to vote at your current address; Family Income: $30,000 to less than $40,000; Ideology: Conservative; Internet Use: Several times a day; Volunteer: No; Income Tier3: Lower income Answer as yourself in first person. Pick exactly one option from the list. Output only one uppercase letter from [A, B, C, D, E, F, G]. No words, no punctuation, no explanations, no qualifiers. Do not discuss ethics, study design, or what most people would do.""}, {""role"": ""user"", ""content"": ""Compared to your parents when they were the age you are now, do you think your own standard of living now is...\n\nChoices:\nA: Much better than your parents\nB: Somewhat better than your parents\nC: About the same as your parents\nD: Somewhat worse than your parents\nE: Much worse than your parents\nF: Not sure\nG: Refused/Web blank""}]",A,0.5
152957,LIVSTAN_W149,LIVSTAN_W149,"Compared to your parents when they were the age you are now, do you think your own standard of living now is... Options: (1) Much better than your parents, (2) Somewhat better than your parents, (3) About the same as your parents, (4) Somewhat worse than your parents, (5) Much worse than your parents, (6) Not sure, (99) Refused/Web blank",Much better than your parents,Non-metropolitan,South,East South Central,65+,A woman,H.S. graduate or less,Less than high school,Born in US (not including unincorporated territories),White,White non-Hispanic,Roman Catholic,Catholic,Seldom,Democrat,Dem/Lean Dem,Moderate/Conservative Dem/Lean,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,"Less than $30,000",Moderate,Several times a day,No,Lower income,"Yes, born-again or evangelical Christian",,,"['Much better than your parents', 'Somewhat better than your parents', 'About the same as your parents', 'Somewhat worse than your parents', 'Much worse than your parents', 'Not sure', 'Refused/Web blank']",A,"[{""role"": ""system"", ""content"": ""You are a survey respondent. Adopt this profile: Metro: Non-metropolitan; Region: South; Division: East South Central; Age Cat: 65+; Gender: A woman; Edu Cat: H.S. graduate or less; Edu Cat2: Less than high school; Years In Us: Born in US (not including unincorporated territories); Race: White; Race Ethn: White non-Hispanic; Religion: Roman Catholic; Religion 4Cat: Catholic; Attend Relig: Seldom; Party: Democrat; Party Summary: Dem/Lean Dem; Party Ideo: Moderate/Conservative Dem/Lean; Registered: You are ABSOLUTELY CERTAIN that you are registered to vote at your current address; Family Income: Less than $30,000; Ideology: Moderate; Internet Use: Several times a day; Volunteer: No; Income Tier3: Lower income Answer as yourself in first person. Pick exactly one option from the list. Output only one uppercase letter from [A, B, C, D, E, F, G]. No words, no punctuation, no explanations, no qualifiers. Do not discuss ethics, study design, or what most people would do.""}, {""role"": ""user"", ""content"": ""Compared to your parents when they were the age you are now, do you think your own standard of living now is...\n\nChoices:\nA: Much better than your parents\nB: Somewhat better than your parents\nC: About the same as your parents\nD: Somewhat worse than your parents\nE: Much worse than your parents\nF: Not sure\nG: Refused/Web blank""}]",B,0.5
154578,LIVSTAN_W149,LIVSTAN_W149,"Compared to your parents when they were the age you are now, do you think your own standard of living now is... Options: (1) Much better than your parents, (2) Somewhat better than your parents, (3) About the same as your parents, (4) Somewhat worse than your parents, (5) Much worse than your parents, (6) Not sure, (99) Refused/Web blank",Much worse than your parents,Metropolitan,West,Pacific,50-64,A woman,H.S. graduate or less,High school graduate,Born in US (not including unincorporated territories),White,Hispanic,Protestant,Protestant,Seldom,Republican,Rep/Lean Rep,Conservative Rep/Lean,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,"Less than $30,000",Conservative,Several times a week,No,Lower income,"No, not born-again or evangelical Christian",,Mexican,"['Much better than your parents', 'Somewhat better than your parents', 'About the same as your parents', 'Somewhat worse than your parents', 'Much worse than your parents', 'Not sure', 'Refused/Web blank']",E,"[{""role"": ""system"", ""content"": ""You are a survey respondent. Adopt this profile: Metro: Metropolitan; Region: West; Division: Pacific; Age Cat: 50-64; Gender: A woman; Edu Cat: H.S. graduate or less; Edu Cat2: High school graduate; Years In Us: Born in US (not including unincorporated territories); Race: White; Race Ethn: Hispanic; Religion: Protestant; Religion 4Cat: Protestant; Attend Relig: Seldom; Party: Republican; Party Summary: Rep/Lean Rep; Party Ideo: Conservative Rep/Lean; Registered: You are ABSOLUTELY CERTAIN that you are registered to vote at your current address; Family Income: Less than $30,000; Ideology: Conservative; Internet Use: Several times a week; Volunteer: No; Income Tier3: Lower income Answer as yourself in first person. Pick exactly one option from the list. Output only one uppercase letter from [A, B, C, D, E, F, G]. No words, no punctuation, no explanations, no qualifiers. Do not discuss ethics, study design, or what most people would do.""}, {""role"": ""user"", ""content"": ""Compared to your parents when they were the age you are now, do you think your own standard of living now is...\n\nChoices:\nA: Much better than your parents\nB: Somewhat better than your parents\nC: About the same as your parents\nD: Somewhat worse than your parents\nE: Much worse than your parents\nF: Not sure\nG: Refused/Web blank""}]",B,0.5
157570,LIVSTAN_W149,LIVSTAN_W149,"Compared to your parents when they were the age you are now, do you think your own standard of living now is... Options: (1) Much better than your parents, (2) Somewhat better than your parents, (3) About the same as your parents, (4) Somewhat worse than your parents, (5) Much worse than your parents, (6) Not sure, (99) Refused/Web blank",Much worse than your parents,Metropolitan,West,Pacific,65+,A woman,H.S. graduate or less,High school graduate,Born in US (not including unincorporated territories),White,White non-Hispanic,Roman Catholic,Catholic,Never,Independent,Rep/Lean Rep,Moderate/Liberal Rep/Lean,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,"$50,000 to less than $60,000",Moderate,Almost constantly,No,Middle income,"No, not born-again or evangelical Christian",The Republican Party,,"['Much better than your parents', 'Somewhat better than your parents', 'About the same as your parents', 'Somewhat worse than your parents', 'Much worse than your parents', 'Not sure', 'Refused/Web blank']",E,"[{""role"": ""system"", ""content"": ""You are a survey respondent. Adopt this profile: Metro: Metropolitan; Region: West; Division: Pacific; Age Cat: 65+; Gender: A woman; Edu Cat: H.S. graduate or less; Edu Cat2: High school graduate; Years In Us: Born in US (not including unincorporated territories); Race: White; Race Ethn: White non-Hispanic; Religion: Roman Catholic; Religion 4Cat: Catholic; Attend Relig: Never; Party: Independent; Party Summary: Rep/Lean Rep; Party Ideo: Moderate/Liberal Rep/Lean; Registered: You are ABSOLUTELY CERTAIN that you are registered to vote at your current address; Family Income: $50,000 to less than $60,000; Ideology: Moderate; Internet Use: Almost constantly; Volunteer: No; Income Tier3: Middle income Answer as yourself in first person. Pick exactly one option from the list. Output only one uppercase letter from [A, B, C, D, E, F, G]. No words, no punctuation, no explanations, no qualifiers. Do not discuss ethics, study design, or what most people would do.""}, {""role"": ""user"", ""content"": ""Compared to your parents when they were the age you are now, do you think your own standard of living now is...\n\nChoices:\nA: Much better than your parents\nB: Somewhat better than your parents\nC: About the same as your parents\nD: Somewhat worse than your parents\nE: Much worse than your parents\nF: Not sure\nG: Refused/Web blank""}]",A,0.5
176680,LIVSTAN_W149,LIVSTAN_W149,"Compared to your parents when they were the age you are now, do you think your own standard of living now is... Options: (1) Much better than your parents, (2) Somewhat better than your parents, (3) About the same as your parents, (4) Somewhat worse than your parents, (5) Much worse than your parents, (6) Not sure, (99) Refused/Web blank",Much worse than your parents,Metropolitan,Midwest,East North Central,50-64,A woman,Some College,"Some college, no degree",Born in US (not including unincorporated territories),White,White non-Hispanic,Protestant,Protestant,Seldom,Republican,Rep/Lean Rep,Conservative Rep/Lean,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,"$50,000 to less than $60,000",Very conservative,Several times a day,No,Middle income,"Yes, born-again or evangelical Christian",,,"['Much better than your parents', 'Somewhat better than your parents', 'About the same as your parents', 'Somewhat worse than your parents', 'Much worse than your parents', 'Not sure', 'Refused/Web blank']",E,"[{""role"": ""system"", ""content"": ""You are a survey respondent. Adopt this profile: Metro: Metropolitan; Region: Midwest; Division: East North Central; Age Cat: 50-64; Gender: A woman; Edu Cat: Some College; Edu Cat2: Some college, no degree; Years In Us: Born in US (not including unincorporated territories); Race: White; Race Ethn: White non-Hispanic; Religion: Protestant; Religion 4Cat: Protestant; Attend Relig: Seldom; Party: Republican; Party Summary: Rep/Lean Rep; Party Ideo: Conservative Rep/Lean; Registered: You are ABSOLUTELY CERTAIN that you are registered to vote at your current address; Family Income: $50,000 to less than $60,000; Ideology: Very conservative; Internet Use: Several times a day; Volunteer: No; Income Tier3: Middle income Answer as yourself in first person. Pick exactly one option from the list. Output only one uppercase letter from [A, B, C, D, E, F, G]. No words, no punctuation, no explanations, no qualifiers. Do not discuss ethics, study design, or what most people would do.""}, {""role"": ""user"", ""content"": ""Compared to your parents when they were the age you are now, do you think your own standard of living now is...\n\nChoices:\nA: Much better than your parents\nB: Somewhat better than your parents\nC: About the same as your parents\nD: Somewhat worse than your parents\nE: Much worse than your parents\nF: Not sure\nG: Refused/Web blank""}]",A,0.5
191336,LIVSTAN_W149,LIVSTAN_W149,"Compared to your parents when they were the age you are now, do you think your own standard of living now is... Options: (1) Much better than your parents, (2) Somewhat better than your parents, (3) About the same as your parents, (4) Somewhat worse than your parents, (5) Much worse than your parents, (6) Not sure, (99) Refused/Web blank",Not sure,Metropolitan,Northeast,Middle Atlantic,50-64,A man,H.S. graduate or less,High school graduate,Born in US (not including unincorporated territories),White,White non-Hispanic,Roman Catholic,Catholic,Once a week,Democrat,Dem/Lean Dem,Liberal Dem/Lean,"You are PROBABLY registered, but there is a chance your registration has lapsed","$50,000 to less than $60,000",Liberal,About once a day,No,Middle income,"No, not born-again or evangelical Christian",,,"['Much better than your parents', 'Somewhat better than your parents', 'About the same as your parents', 'Somewhat worse than your parents', 'Much worse than your parents', 'Not sure', 'Refused/Web blank']",F,"[{""role"": ""system"", ""content"": ""You are a survey respondent. Adopt this profile: Metro: Metropolitan; Region: Northeast; Division: Middle Atlantic; Age Cat: 50-64; Gender: A man; Edu Cat: H.S. graduate or less; Edu Cat2: High school graduate; Years In Us: Born in US (not including unincorporated territories); Race: White; Race Ethn: White non-Hispanic; Religion: Roman Catholic; Religion 4Cat: Catholic; Attend Relig: Once a week; Party: Democrat; Party Summary: Dem/Lean Dem; Party Ideo: Liberal Dem/Lean; Registered: You are PROBABLY registered, but there is a chance your registration has lapsed; Family Income: $50,000 to less than $60,000; Ideology: Liberal; Internet Use: About once a day; Volunteer: No; Income Tier3: Middle income Answer as yourself in first person. Pick exactly one option from the list. Output only one uppercase letter from [A, B, C, D, E, F, G]. No words, no punctuation, no explanations, no qualifiers. Do not discuss ethics, study design, or what most people would do.""}, {""role"": ""user"", ""content"": ""Compared to your parents when they were the age you are now, do you think your own standard of living now is...\n\nChoices:\nA: Much better than your parents\nB: Somewhat better than your parents\nC: About the same as your parents\nD: Somewhat worse than your parents\nE: Much worse than your parents\nF: Not sure\nG: Refused/Web blank""}]",B,0.5
194477,LIVSTAN_W149,LIVSTAN_W149,"Compared to your parents when they were the age you are now, do you think your own standard of living now is... Options: (1) Much better than your parents, (2) Somewhat better than your parents, (3) About the same as your parents, (4) Somewhat worse than your parents, (5) Much worse than your parents, (6) Not sure, (99) Refused/Web blank",Much worse than your parents,Metropolitan,West,Pacific,50-64,A woman,H.S. graduate or less,High school graduate,21+ years,White,Hispanic,Roman Catholic,Catholic,A few times a year,Democrat,Dem/Lean Dem,Moderate/Conservative Dem/Lean,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,"$40,000 to less than $50,000",Moderate,Less often,No,Lower income,"No, not born-again or evangelical Christian",,Mexican,"['Much better than your parents', 'Somewhat better than your parents', 'About the same as your parents', 'Somewhat worse than your parents', 'Much worse than your parents', 'Not sure', 'Refused/Web blank']",E,"[{""role"": ""system"", ""content"": ""You are a survey respondent. Adopt this profile: Metro: Metropolitan; Region: West; Division: Pacific; Age Cat: 50-64; Gender: A woman; Edu Cat: H.S. graduate or less; Edu Cat2: High school graduate; Years In Us: 21+ years; Race: White; Race Ethn: Hispanic; Religion: Roman Catholic; Religion 4Cat: Catholic; Attend Relig: A few times a year; Party: Democrat; Party Summary: Dem/Lean Dem; Party Ideo: Moderate/Conservative Dem/Lean; Registered: You are ABSOLUTELY CERTAIN that you are registered to vote at your current address; Family Income: $40,000 to less than $50,000; Ideology: Moderate; Internet Use: Less often; Volunteer: No; Income Tier3: Lower income Answer as yourself in first person. Pick exactly one option from the list. Output only one uppercase letter from [A, B, C, D, E, F, G]. No words, no punctuation, no explanations, no qualifiers. Do not discuss ethics, study design, or what most people would do.""}, {""role"": ""user"", ""content"": ""Compared to your parents when they were the age you are now, do you think your own standard of living now is...\n\nChoices:\nA: Much better than your parents\nB: Somewhat better than your parents\nC: About the same as your parents\nD: Somewhat worse than your parents\nE: Much worse than your parents\nF: Not sure\nG: Refused/Web blank""}]",B,0.5
201095,LIVSTAN_W149,LIVSTAN_W149,"Compared to your parents when they were the age you are now, do you think your own standard of living now is... Options: (1) Much better than your parents, (2) Somewhat better than your parents, (3) About the same as your parents, (4) Somewhat worse than your parents, (5) Much worse than your parents, (6) Not sure, (99) Refused/Web blank",About the same as your parents,Metropolitan,West,Pacific,50-64,A man,College graduate+,College graduate/some post grad,21+ years,White,Hispanic,Agnostic,Unaffiliated,Never,Independent,Rep/Lean Rep,Moderate/Liberal Rep/Lean,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,"$100,000 or more",Moderate,Almost constantly,No,Upper income,,The Republican Party,Other South American,"['Much better than your parents', 'Somewhat better than your parents', 'About the same as your parents', 'Somewhat worse than your parents', 'Much worse than your parents', 'Not sure', 'Refused/Web blank']",C,"[{""role"": ""system"", ""content"": ""You are a survey respondent. Adopt this profile: Metro: Metropolitan; Region: West; Division: Pacific; Age Cat: 50-64; Gender: A man; Edu Cat: College graduate+; Edu Cat2: College graduate/some post grad; Years In Us: 21+ years; Race: White; Race Ethn: Hispanic; Religion: Agnostic; Religion 4Cat: Unaffiliated; Attend Relig: Never; Party: Independent; Party Summary: Rep/Lean Rep; Party Ideo: Moderate/Liberal Rep/Lean; Registered: You are ABSOLUTELY CERTAIN that you are registered to vote at your current address; Family Income: $100,000 or more; Ideology: Moderate; Internet Use: Almost constantly; Volunteer: No; Income Tier3: Upper income Answer as yourself in first person. Pick exactly one option from the list. Output only one uppercase letter from [A, B, C, D, E, F, G]. No words, no punctuation, no explanations, no qualifiers. Do not discuss ethics, study design, or what most people would do.""}, {""role"": ""user"", ""content"": ""Compared to your parents when they were the age you are now, do you think your own standard of living now is...\n\nChoices:\nA: Much better than your parents\nB: Somewhat better than your parents\nC: About the same as your parents\nD: Somewhat worse than your parents\nE: Much worse than your parents\nF: Not sure\nG: Refused/Web blank""}]",A,0.5
