id,answer
104210,E
118060,B
127284,C
152957,F
154578,C
157570,A
176680,C
191336,C
194477,D
201095,D
209250,A
235304,F
244331,B
303072,B
307718,B
328603,E
337758,D
345029,A
600096,E
603636,D
608491,D
617876,E
617915,B
617960,B
618252,C
622469,B
623716,A
623757,D
634161,C
634738,F
642225,C
642888,B
643728,D
645663,D
645972,C
648143,C
649614,C
651351,F
652173,E
652222,C
653320,A
653972,C
654983,E
657074,E
659269,C
662351,F
664892,B
668132,D
670311,B
673888,B
676590,A
677397,C
677466,B
677559,B
678074,D
681508,B
684598,D
686909,D
689257,F
689576,A
692394,D
695017,B
697868,A
698713,A
702398,A
703590,D
704602,B
705647,D
707861,E
713534,E
716589,D
718333,F
720429,F
720793,F
723634,B
201501136603,A
201501137284,C
201501211143,B
201501228955,B
201501232113,E
201501268222,F
201501275680,A
201501454640,D
201501457166,E
201501510512,D
201501601872,D
201501603640,D
201501605317,F
201501606569,E
201501606632,E
201501608065,C
201501608312,C
201501611392,D
201501613005,E
201501613977,F
201501614487,D
201501616979,E
201501620631,B
201501623251,E
201501623815,C
201501627067,F
201501640302,D
201501642238,E
201501647619,F
201501648255,C
201501651295,F
201501652117,E
201501656958,D
201501657019,F
201501657128,B
201501661283,B
201501676991,F
201501677751,A
201501677982,B
201501681239,D
201501681704,B
201501682703,D
201501685003,C
201501690238,E
201501691173,E
201501691401,D
201501691562,B
201501693651,E
201501693691,A
201501695484,B
201501695858,E
201501697631,A
201501700365,C
201501701979,E
201501718596,A
201501726403,A
201501726887,A
201501737852,E
201501739549,B
201501739839,A
201501793855,B
201701202982,D
201701212768,A
201701235924,C
201701256892,F
201701268247,E
201701271927,B
201701273413,A
201701284001,D
201701294921,D
201701603310,B
201701605425,D
201701606150,C
201701618677,B
201701620095,B
201701620576,D
201701647711,C
201701648316,E
201701652152,E
201701664641,B
201701667233,A
201701669764,B
201701671197,C
201701687851,E
201701688857,D
201701692909,F
201701699243,B
201701701816,F
201701708598,E
201701720287,B
201701722184,D
201701723640,E
201801002185,F
201801002962,C
201801005675,B
201801008522,D
201801008718,A
201801009064,E
201801009096,B
201801011196,D
201801012704,A
201801012794,E
201801013592,B
201801017510,E
201801018600,B
201801018888,D
201801020091,C
201801021113,B
201801021693,D
201801022067,D
201801022649,C
201801025064,F
201801025815,B
201801026228,B
201801028040,E
201801028556,B
201801029389,A
201801029860,D
201801031591,C
201801032024,D
201801035061,C
201801040791,A
201801041578,D
201801042802,D
201801042809,A
201801042885,E
201801043580,A
201801044331,C
201801045374,B
201801047200,C
201801053062,F
201801053306,B
201801054512,A
201801054672,A
201801054987,B
201801056069,F
201801056300,A
201801060511,D
201801061168,F
201801062327,C
201801062543,E
201801063523,A
201801066086,F
201801066779,C
201801067682,F
201801068056,D
201801068101,C
201801070466,E
201801070547,C
201801071852,C
201801071956,B
201801072110,E
201801072490,D
201801072773,A
201801072994,D
201801073635,E
201801073790,D
201801074774,F
201801075634,D
201801076285,A
201801076294,A
201801078244,F
201801079121,E
201801079157,E
201801080718,B
201801081122,C
201801081269,A
201801083973,A
201801084578,C
201801084899,F
201801085261,E
201801085703,D
201801087244,C
201801088015,D
201801088018,D
201801088076,A
201801088381,C
201801088441,D
201801089896,C
201801089914,F
201801090083,B
201801090158,C
201801090658,A
201801090957,D
201801091236,E
201801091411,E
201801092104,A
201801092536,C
201801093190,F
201801093552,A
201801093717,A
201801093790,E
201801094897,C
201801095313,B
201801095401,F
201801096812,E
201801098392,A
201801098825,C
201801100867,D
201801102090,F
201801103157,A
201801105864,B
201801106300,E
201801107018,A
201801108131,D
201801108141,D
201801108823,F
201801109377,A
201801109602,A
201801109900,B
201801110439,F
201801111581,C
201801112192,E
201801112366,E
201801112674,B
201801112989,F
201801113031,E
201801114430,E
201801114716,C
201801115315,F
201801115757,E
201801116438,E
201801116570,C
201801118540,B
201801118555,D
201801118579,C
201801119088,B
201801121404,D
201801123959,F
201801124020,B
201801125732,D
201801126200,C
201801127407,A
201801128871,E
201801129817,A
201801129970,C
201801132129,C
201801133641,D
201801135401,A
201801136050,E
201801136409,A
201801136565,A
201801136872,E
201801138703,A
201801139222,B
201801139408,A
201801139704,F
201801140059,C
201801140322,A
201801141107,D
201801141215,B
201801141958,C
201801142271,B
201801142276,D
201801143036,F
201801143477,A
201801143688,A
201801143732,F
201801143873,E
201801144173,A
201801144410,B
201801144936,D
201801145318,D
201801145557,E
201801147426,A
201801147704,E
201801148011,A
201801148103,C
201801148662,A
201801149048,D
201801149143,A
201801150851,C
201801152828,E
201801156349,F
201801159671,F
201801160141,F
201801160629,D
201801162197,F
201801162255,B
201801162869,F
201801163343,A
201801163597,D
201801165632,C
201801166150,B
201801166877,D
201801168147,F
201801168390,A
201801168619,D
201801168749,D
201801169317,A
201801171454,E
201801171634,A
201801171761,A
201801172081,D
201801172165,D
201801173546,A
201801173563,C
201801173982,C
201801174409,A
201801174499,A
201801174788,C
201801174793,A
201801176121,A
201801177443,A
201801177699,C
201801177861,E
201801179484,E
201801179787,A
201801181172,D
201801181298,C
201801181325,A
201801181993,E
201801183055,A
201801183785,E
201801183854,B
201801184097,C
201801184436,C
201801184464,D
201801184553,A
201801184766,F
201801185073,A
201801185192,A
201801187082,A
201801187243,F
201801187463,D
201801187616,A
201801188446,B
201801189348,A
201901000637,E
201901000788,B
201901001822,B
201901002281,D
201901003533,B
201901006481,E
201901016725,D
201901017912,E
201901019034,B
201901019397,B
201901019894,C
201901019936,D
201901020110,B
201901020370,D
201901020610,C
201901022306,D
201901022601,E
201901022867,D
201901023028,B
201901024821,D
201901025326,C
201901025466,F
201901026152,A
201901026353,E
201901026361,E
201901026471,D
201901026500,E
201901026670,E
201901027260,C
201901027318,B
201901027931,E
201901028040,B
201901028729,A
201901030358,E
201901031373,D
201901039731,E
201901040458,F
201901050467,B
201901075752,B
201901079912,F
202001001063,F
202001001424,C
202001001848,D
202001002024,D
202001002160,D
202001002876,F
202001003178,B
202001003409,E
202001004168,E
202001004281,A
202001004341,A
202001004424,B
202001004842,B
202001004884,F
202001005587,D
202001005770,F
202001005882,F
202001006271,F
202001006286,D
202001006888,D
202001007039,E
202001007117,D
202001007336,A
202001007403,D
202001007913,A
202001008098,C
202001008652,E
202001008676,D
202001008723,B
202001009169,B
202001009221,B
202001010975,B
202001011097,F
202001011541,A
202001011622,F
202001012012,B
202001012656,C
202001012680,E
202001012886,D
202001013152,A
202001013255,B
202001013280,A
202001013414,C
202001013578,F
202001014032,C
202001014437,A
202001015469,C
202001015662,F
202001015756,B
202001015839,F
202001016082,C
202001016832,D
202001016922,B
202001017409,B
202001017564,C
202001018842,F
202001019455,D
202001019666,B
202001019834,C
202001020079,F
202001020248,B
202001020295,C
202001020437,D
202001020534,E
202001021046,E
202001021076,B
202001021280,C
202001021489,E
202001021844,C
202101000431,E
202101000965,A
202101001750,B
202101001873,F
202101002084,D
202101002197,E
202101002339,C
202101003335,C
202101003463,C
202101004128,A
202101004268,D
202101004421,B
202101004703,D
202101004790,A
202101005357,A
202101005465,A
202101005956,B
202101006127,A
202101006490,E
202101007203,E
202101007276,D
202101007741,C
202101007795,B
202101007802,B
202101008463,B
202101009255,B
202101009907,F
202101010120,E
202101010502,F
202101011094,E
202101011457,A
202101011651,A
202101012038,A
202101012408,D
202101012819,B
202201000645,F
202201000976,E
202201002572,F
202201002890,D
202201003766,A
202201004077,D
202201004725,A
202201004878,E
202201005996,B
202201008147,B
202201008733,F
202201009684,D
202201009937,B
202201010614,E
202201010796,E
202201010987,F
202201011565,D
202201012196,D
202201012843,A
202201013770,B
202201016125,D
202201017194,B
202201018258,B
202201019946,E
202201020229,A
202201020570,E
202201021899,F
202201022094,A
202201023064,A
202201024644,B
202201025893,C
202201025927,D
202201026021,B
202201027247,F
202201027551,F
202201028084,A
202201028214,B
202201028312,A
202201028347,C
202201029332,E
202201030062,C
202201030415,E
202201035201,B
202201036326,D
202201037730,A
202201037882,C
202201037941,F
202201039180,D
202201041601,B
202201042652,A
202201043725,C
202201046438,D
202201047311,F
202201048024,B
202201048747,D
202201049683,E
202201050555,C
202201051050,F
202201051229,E
202201051236,C
202201052679,F
202301000017,B
202301000018,B
202301000150,D
202301000173,C
202301000208,D
202301000209,F
202301000244,B
202301000278,E
202301000308,C
202301000326,E
202301000333,C
202301000408,B
202301000488,A
202301000506,B
202301000519,C
202301000545,D
202301000571,A
202301000590,A
202301000591,D
202301000659,B
202301000688,D
202301000725,D
202301000743,C
202301000787,A
202301000858,A
202301000861,C
202301000877,C
202301000974,C
202301001026,C
202301001031,C
202301001121,C
202301001131,B
202301001134,B
202301001198,B
